id_cliente,tipo_pessoa,tipo_imovel,quantidade_equipamentos,diversidade_equipamentos,horas_uso_diario_media,dias_uso_mes_media,faixa_uso_diario,faixa_dias_uso,qtd_banheiro,qtd_climatizacao,qtd_cozinha,qtd_entretenimento,qtd_iluminacao,qtd_industrial,qtd_limpeza,qtd_ti,consumo_total_kwh
1,PF,Residencial,7,4,8.525,23.5,Alto,Frequente,0,3,4,0,0,0,0,0,1220.1359999999997
2,PJ,Residencial,12,6,6.916666666666667,24.166666666666668,Medio,Frequente,2,0,7,3,0,0,0,0,2120.433
3,PJ,Comercial,50,6,9.616666666666667,23.666666666666668,Alto,Frequente,0,19,10,2,0,0,0,19,4485.2480000000005
4,PF,Comercial,67,8,9.8125,24.375,Alto,Frequente,0,21,17,2,5,0,0,22,15215.760000000002
5,PF,Comercial,26,4,6.4,23.5,Medio,Frequente,0,0,3,0,8,0,0,15,3067.45
6,PF,Comercial,80,8,6.0874999999999995,21.375,Medio,Frequente,0,17,17,6,13,0,0,27,13373.08
7,PF,Comercial,54,6,6.033333333333334,18.166666666666668,Medio,Frequente,0,18,14,0,12,0,0,10,6142.139999999999
8,PJ,Comercial,39,6,5.8500000000000005,20.833333333333332,Medio,Frequente,0,17,2,2,10,0,0,8,4378.576
9,PF,Residencial,16,7,8.471428571428572,23.857142857142858,Alto,Frequente,3,0,8,3,0,0,2,0,4965.642
10,PJ,Residencial,11,4,7.625,21.25,Medio,Frequente,3,3,3,2,0,0,0,0,558.816
11,PF,Residencial,8,3,6.2,21.0,Medio,Frequente,0,2,6,0,0,0,0,0,1396.44
12,PJ,Industrial,36,5,7.94,22.6,Medio,Frequente,0,6,0,0,8,12,0,10,27698.899999999998
13,PJ,Industrial,32,3,4.366666666666666,20.333333333333332,Medio,Frequente,0,11,0,0,0,11,0,10,10248.06
14,PF,Residencial,12,6,8.950000000000001,24.666666666666668,Alto,Frequente,2,1,4,0,0,0,2,3,4440.1050000000005
15,PF,Comercial,63,7,8.514285714285714,21.571428571428573,Alto,Frequente,0,11,14,14,14,0,0,10,8826.04
16,PF,Industrial,31,5,9.9,25.0,Alto,Frequente,0,6,0,0,12,2,0,11,11836.85
17,PF,Residencial,9,6,7.3500000000000005,22.666666666666668,Medio,Frequente,2,1,2,3,0,0,0,1,2557.7
18,PF,Residencial,13,8,7.1125,21.875,Medio,Frequente,3,2,2,5,0,0,0,1,4031.885
19,PF,Industrial,14,3,5.466666666666666,26.0,Medio,Constante,0,0,0,0,3,8,0,3,7261.05
20,PF,Residencial,14,7,5.757142857142857,23.142857142857142,Medio,Frequente,0,4,4,3,0,0,0,3,1274.7930000000001
21,PF,Comercial,67,6,6.816666666666666,18.0,Medio,Frequente,0,18,25,0,0,0,0,24,3719.7499999999995
22,PF,Residencial,11,5,9.28,25.2,Alto,Constante,3,0,2,2,0,0,1,3,5327.262000000001
23,PF,Industrial,49,5,7.659999999999999,23.8,Medio,Frequente,0,11,0,0,3,12,0,23,19518.0
24,PF,Industrial,46,5,8.02,22.2,Alto,Frequente,0,7,0,0,12,7,0,20,21089.76
25,PF,Industrial,29,3,6.933333333333334,25.0,Medio,Frequente,0,11,0,0,0,0,0,18,4561.139999999999
26,PJ,Residencial,14,8,7.25,20.25,Medio,Frequente,0,1,6,2,0,0,3,2,607.233
