id,tipo_pessoa,tipo_imovel
1,PF,Residencial
2,PJ,Residencial
3,PJ,Comercial
4,PF,Comercial
5,PF,Comercial
6,PF,Comercial
7,PF,Comercial
8,PJ,Comercial
9,PF,Residencial
10,PJ,Residencial
11,PF,Residencial
12,PJ,Industrial
13,PJ,Industrial
14,PF,Residencial
15,,Comercial
16,PF,Industrial
17,PF,Residencial
18,PF,Residencial
19,PF,Industrial
20,PF,Residencial
21,PF,Comercial
22,PF,Residencial
23,PF,Industrial
24,PF,Industrial
25,PF,Industrial
26,PJ,Residencial
27,PF,Comercial
28,PF,Comercial
29,PF,Residencial
30,PF,Comercial
31,PF,Residencial
32,PF,Residencial
33,PF,Residencial
34,PJ,Residencial
35,PJ,Residencial
36,PJ,Comercial
37,PF,Residencial
38,PF,Comercial
39,PF,Residencial
40,PF,Residencial
41,PF,Residencial
42,PF,Comercial
43,PF,Residencial
44,PJ,Comercial
45,PF,Comercial
46,PF,Comercial
47,PF,Residencial
48,PF,Residencial
49,PF,Comercial
50,PF,Residencial
51,PJ,Comercial
52,PJ,Residencial
53,PJ,Industrial
54,PJ,Comercial
55,PF,Industrial
56,PJ,Residencial
57,PF,Comercial
58,PF,Residencial
59,PF,Residencial
60,PF,Comercial
61,PF,Comercial
62,PF,Industrial
63,PJ,Comercial
64,PF,Residencial
65,PF,Residencial
66,PF,Comercial
67,PF,Residencial
68,PJ,Residencial
69,PF,Residencial
70,PJ,Residencial
71,PJ,Residencial
72,PF,Residencial
73,PF,Residencial
74,PJ,Residencial
75,PJ,Industrial
76,PJ,Residencial
77,PJ,Residencial
78,PF,Comercial
79,PF,Residencial
80,,Industrial
81,PJ,Comercial
82,PF,Residencial
83,PF,Residencial
84,PF,Comercial
85,PF,Industrial
86,PF,Residencial
87,PJ,Comercial
88,PF,Residencial
89,PJ,Industrial
90,PF,Residencial
91,PF,Industrial
92,PJ,Comercial
93,PJ,Comercial
94,PF,Residencial
95,PJ,Residencial
96,PF,Residencial
97,PF,Residencial
98,PF,Residencial
99,PF,Comercial
100,PF,Residencial
101,PF,Residencial
102,PF,Industrial
103,PF,Comercial
104,PF,Industrial
105,PJ,Industrial
106,,Residencial
107,PF,Residencial
108,PJ,Comercial
109,PF,Comercial
110,PF,Residencial
111,PF,Comercial
112,PF,Residencial
113,PJ,Residencial
114,PJ,Residencial
115,PF,Residencial
116,PJ,Residencial
117,PJ,Residencial
118,PF,Comercial
119,PJ,Residencial
120,PF,Residencial
121,PJ,Comercial
122,PJ,Industrial
123,PF,Comercial
124,PF,Comercial
125,PF,Comercial
126,PF,Residencial
127,PJ,Residencial
128,PJ,Residencial
129,PF,Residencial
130,PF,Residencial
131,PF,Comercial
132,PF,Residencial
133,PF,Residencial
134,PF,Residencial
135,PJ,Comercial
136,PF,Residencial
137,PF,Comercial
138,PJ,Residencial
139,PF,Residencial
140,PJ,Residencial
141,PJ,Comercial
142,PF,Residencial
143,PF,Comercial
144,PF,Residencial
145,PF,Residencial
146,PF,Comercial
147,PF,Comercial
148,PF,Comercial
149,PF,Comercial
150,,Comercial
151,,Comercial
152,PF,Comercial
153,PF,Comercial
154,PF,Comercial
155,PJ,Comercial
156,PF,Comercial
157,PF,Residencial
158,PJ,Comercial
159,PF,Comercial
160,PJ,Residencial
161,PF,Comercial
162,PF,Residencial
163,PF,Residencial
164,PF,Comercial
165,PF,Residencial
166,,Comercial
167,PF,Comercial
168,PF,Residencial
169,PF,Residencial
170,PF,Residencial
171,PF,Comercial
172,PF,Industrial
173,PF,Comercial
174,PF,Residencial
175,PF,Comercial
176,PF,Residencial
177,PF,Comercial
178,PF,Residencial
179,PJ,Comercial
180,PF,Residencial
181,PF,Industrial
182,PF,Residencial
183,PJ,Comercial
184,PJ,Industrial
185,PF,Residencial
186,PF,Industrial
187,PJ,Comercial
188,PF,Residencial
189,PF,Residencial
190,PF,Comercial
191,PF,Residencial
192,PJ,Residencial
193,PJ,Residencial
194,PF,Comercial
195,PF,Residencial
196,PF,Comercial
197,,Industrial
198,PJ,Industrial
199,PJ,Comercial
200,,Residencial
201,PF,Comercial
202,PF,Residencial
203,PF,Residencial
204,PJ,Residencial
205,PF,Residencial
206,PF,Comercial
207,PF,Comercial
208,PF,Residencial
209,PF,Residencial
210,PF,Industrial
211,PF,Residencial
212,PF,Residencial
213,PF,Residencial
214,PF,Comercial
215,PJ,Comercial
216,PF,Residencial
217,PF,Residencial
218,PJ,Comercial
219,PF,Comercial
220,PJ,Residencial
221,PF,Industrial
222,PF,Residencial
223,PF,Residencial
224,PF,Industrial
225,PF,Residencial
226,PF,Comercial
227,PJ,Residencial
228,PF,Residencial
229,,Industrial
230,PF,Residencial
231,,Comercial
232,PF,Residencial
233,PF,Residencial
234,PF,Residencial
235,PF,Comercial
236,PJ,Residencial
237,PF,Comercial
238,PF,Residencial
239,PF,Industrial
240,PF,Residencial
241,PJ,Comercial
