id,id_cliente,id_equipamento,quantidade,horas_uso_diario,dias_uso_mes
1,1,6,1,8.9,22
2,1,2,1,6.2,18
3,1,8,3,10.2,27
4,1,1,2,8.8,27
5,2,1,2,5.8,25
6,2,11,2,3.5,24
7,2,6,1,9.1,24
8,2,3,3,8.5,25
9,2,2,1,11.5,22
10,2,14,3,3.1,25
11,3,7,10,10.0,24
12,3,12,2,13.1,18
13,3,8,5,4.0,22
14,3,16,7,6.4,20
15,3,13,12,10.9,30
16,3,9,14,13.3,28
17,4,1,14,7.0,17
18,4,8,7,6.8,26
19,4,9,14,1.6,15
20,4,12,2,13.8,27
21,4,7,3,12.1,26
22,4,16,13,13.5,30
23,4,18,5,13.4,30
24,4,13,9,10.3,24
25,5,18,8,3.8,16
26,5,13,11,1.2,26
27,5,16,4,10.5,27
28,5,7,3,10.1,25
29,6,1,5,4.2,15
30,6,8,12,9.7,25
31,6,9,5,8.3,20
32,6,13,14,7.5,23
33,6,12,6,1.1,19
34,6,16,13,13.0,24
35,6,7,12,1.6,24
36,6,18,13,3.3,21
37,7,9,14,1.0,18
38,7,7,10,3.0,21
39,7,18,12,13.4,15
40,7,16,10,10.9,15
41,7,1,4,6.1,19
42,7,8,4,1.8,21
43,8,8,6,5.7,18
44,8,12,2,4.1,24
45,8,9,11,12.9,18
46,8,16,8,7.6,25
47,8,18,10,1.5,24
48,8,1,2,3.3,16
49,9,10,3,12.6,21
50,9,1,2,12.6,19
51,9,6,2,11.1,24
52,9,7,3,8.1,27
53,9,2,1,4.3,30
54,9,14,3,8.7,28
55,9,15,2,1.9,18
56,10,6,3,7.7,15
57,10,11,3,1.6,18
58,10,9,3,13.1,29
59,10,12,2,8.1,23
60,11,4,3,1.7,18
61,11,8,2,10.5,18
62,11,3,3,6.4,27
63,12,8,6,10.3,25
64,12,16,4,3.4,28
65,12,17,12,14.0,18
66,12,18,8,3.9,20
67,12,13,6,8.1,22
68,13,8,11,1.3,16
69,13,13,10,4.5,30
70,13,17,11,7.3,15
71,14,2,3,11.8,22
72,14,13,3,10.3,25
73,14,10,2,13.0,21
74,14,15,2,10.5,28
75,14,3,1,4.6,25
76,14,8,1,3.5,27
77,15,18,14,13.3,15
78,15,7,2,5.9,29
79,15,16,5,11.2,30
80,15,13,5,6.0,17
81,15,1,12,11.9,22
82,15,8,11,9.0,16
83,15,12,14,2.3,22
84,16,17,2,13.6,17
85,16,8,6,7.6,25
86,16,13,7,2.5,30
87,16,16,4,13.4,30
88,16,18,12,12.4,23
89,17,14,3,1.2,30
90,17,13,1,8.1,28
91,17,9,1,5.0,25
92,17,11,1,13.2,19
93,17,10,1,12.4,19
94,17,5,2,4.2,15
95,18,12,3,3.6,17
96,18,14,2,8.8,18
97,18,13,1,5.2,29
98,18,10,2,12.9,22
99,18,8,2,6.9,24
100,18,11,1,2.3,24
101,18,1,1,13.7,23
102,18,4,1,3.5,18
103,19,17,8,4.4,24
104,19,13,3,7.3,30
105,19,18,3,4.7,24
106,20,13,3,9.4,28
107,20,2,1,1.2,17
108,20,8,2,4.3,24
109,20,5,-2,10.2,30
110,20,9,2,5.1,18
111,20,14,3,8.8,27
112,20,1,1,2.5,23
113,20,3,2,9.0,25
114,21,13,14,6.3,15
115,21,1,14,8.6,15
116,21,16,10,6.9,15
117,21,7,11,6.2,27
118,21,9,11,10.6,20
119,21,8,7,2.3,16
120,22,14,2,14.0,26
121,22,15,1,8.1,23
122,22,1,2,10.1,27
123,22,13,3,3.6,21
124,22,10,3,10.6,29
125,23,16,12,4.2,22
126,23,17,12,7.0,17
127,23,13,11,8.8,30
128,23,18,3,5.8,21
129,23,8,11,12.5,29
130,24,13,9,3.6,24
131,24,8,7,10.7,22
132,24,18,12,7.8,17
133,24,16,11,6.6,27
134,24,17,7,11.4,21
135,25,16,6,9.7,22
136,25,13,12,6.9,27
137,25,8,11,4.2,26
138,26,13,2,7.5,27
139,26,15,3,7.4,18
140,26,1,3,4.7,17
141,26,14,2,1.1,23
142,26,3,1,13.0,19
143,26,6,1,1.9,24
144,26,7,1,10.7,17
145,26,9,1,11.7,17
146,27,13,11,8.0,19
147,27,7,14,5.6,18
148,27,8,9,11.3,21
149,27,16,8,13.4,18
150,27,18,11,5.9,24
151,27,1,8,4.0,15
152,28,7,7,7.8,19
153,28,9,11,12.5,26
154,28,18,8,7.0,28
155,28,16,10,1.2,23
156,28,8,14,7.0,21
157,28,13,14,10.4,18
158,28,1,8,6.6,21
159,28,12,9,12.2,19
160,29,5,2,8.9,28
161,29,10,3,1.8,20
162,29,8,3,4.0,29
163,29,9,2,13.5,22
164,29,4,3,8.2,29
165,29,7,1,6.6,17
166,29,14,3,10.1,29
167,29,15,2,3.2,16
168,30,18,14,10.1,19
169,30,9,14,5.4,30
170,30,16,9,10.0,21
171,30,7,14,6.1,15
172,30,1,4,3.7,15
173,31,8,1,7.0,20
174,31,6,1,7.3,17
175,31,12,2,11.3,28
176,31,7,1,3.4,16
177,31,13,1,12.5,17
178,31,4,3,2.0,28
179,31,2,1,11.4,17
180,32,3,2,7.7,20
181,32,2,3,4.0,27
182,32,13,3,1.6,17
183,32,5,3,1.9,28
184,33,5,3,1.6,18
185,33,8,1,8.6,19
186,33,9,1,5.6,30
187,33,3,2,10.9,17
188,33,12,1,3.7,26
189,34,13,2,8.5,20
190,34,15,2,3.0,24
191,34,2,1,10.3,20
192,34,4,3,3.4,27
193,34,5,3,12.2,28
194,34,3,2,7.6,29
195,34,14,1,8.6,16
196,35,4,2,4.5,26
197,35,5,1,10.0,27
198,35,11,-2,8.7,20
199,35,12,2,9.6,29
200,35,8,3,11.1,21
201,35,14,3,3.4,18
202,36,7,7,1.4,19
203,36,8,4,11.7,26
204,36,18,9,12.2,30
205,36,13,7,6.6,28
206,36,1,12,7.7,29
207,37,15,3,14.0,25
208,37,9,1,10.7,30
209,37,10,1,12.2,27
210,37,4,3,4.1,29
211,37,5,1,5.1,17
212,37,12,3,5.7,17
213,37,1,2,8.4,29
214,38,16,12,1.1,17
215,38,9,6,12.2,24
216,38,13,4,8.6,27
217,38,1,14,10.8,25
218,38,7,3,10.2,25
219,38,8,10,4.0,17
220,38,12,8,13.1,28
221,39,10,2,1.7,25
222,39,9,1,9.8,21
223,39,6,2,5.9,21
224,39,15,3,3.2,19
225,40,5,2,9.7,27
226,40,15,2,3.2,18
227,40,2,2,11.1,21
228,41,9,1,4.6,18
229,41,13,2,8.6,22
230,41,7,3,1.7,22
231,41,1,1,6.5,28
232,41,5,1,8.9,18
233,42,9,10,14.0,18
234,42,7,6,12.7,29
235,42,18,8,9.0,29
236,42,1,6,1.8,18
237,42,13,13,1.9,21
238,42,8,13,11.6,30
239,43,1,2,2.0,29
240,43,5,1,7.9,19
241,43,6,2,3.2,22
242,43,8,3,11.4,28
243,44,18,5,3.7,20
244,44,8,5,2.9,30
245,44,12,7,12.2,29
246,44,1,9,2.1,16
247,44,16,8,10.2,28
248,44,7,6,7.2,24
249,44,9,9,4.9,22
250,44,13,4,1.0,26
251,45,9,9,5.7,20
252,45,12,14,5.5,16
253,45,13,4,13.9,15
254,45,8,11,5.1,29
255,46,13,14,10.6,29
256,46,12,13,7.3,17
257,46,16,13,5.7,17
258,46,8,3,2.6,21
259,46,7,5,6.4,30
260,46,9,9,3.6,15
261,46,18,2,3.3,17
262,46,1,14,8.5,24
263,47,11,3,3.4,16
264,47,10,2,8.9,20
265,47,2,3,8.4,23
266,47,1,2,5.9,17
267,47,13,2,5.8,25
268,47,14,1,10.5,27
269,47,3,3,5.4,18
270,47,5,1,1.3,29
271,48,11,1,8.2,27
272,48,3,1,4.8,22
273,48,9,2,13.3,21
274,48,8,2,8.9,25
275,48,15,2,11.2,27
276,48,12,3,1.1,26
277,48,14,1,10.1,21
278,48,1,2,10.9,29
279,49,9,-2,3.2,19
280,49,8,6,1.6,15
281,49,18,9,3.9,29
282,49,1,10,7.1,26
283,50,8,1,5.4,26
284,50,10,1,11.1,23
285,50,2,1,3.5,25
286,50,5,2,10.0,25
287,50,3,2,6.1,25
288,50,11,3,2.6,15
289,50,13,1,4.1,27
290,51,9,4,7.8,23
291,51,8,2,4.0,25
292,51,1,9,1.4,17
293,51,18,3,9.7,17
294,51,7,8,4.5,15
295,51,13,7,9.8,20
296,51,16,13,12.0,21
297,51,12,6,12.5,18
298,52,8,3,12.0,24
299,52,6,2,13.9,15
300,52,5,3,13.8,22
301,52,2,2,13.1,26
302,52,3,3,2.2,30
303,52,7,3,3.0,28
304,52,13,1,6.8,16
305,52,9,3,4.2,28
306,53,17,9,8.5,17
307,53,16,9,11.6,24
308,53,18,12,1.7,29
309,53,8,4,3.8,19
310,54,1,8,4.9,30
311,54,12,2,6.7,16
312,54,8,4,5.4,23
313,54,9,5,11.8,20
314,54,13,6,10.6,15
315,54,18,5,4.7,29
316,54,16,11,4.9,18
317,55,16,6,5.6,25
318,55,13,13,10.5,18
319,55,17,12,13.1,26
320,55,18,4,8.4,21
321,55,8,4,6.3,24
322,56,15,1,12.6,16
323,56,6,1,10.1,17
